CRD_46675A842A144D9E84CF|가디안 EX|3740
CRD_46AF434D15734C6787E2|도희의 비기|2260
CRD_46C3AF403C0244BCBFF4|코라이돈 ex|90
CRD_4705CE7F497346EB824F|가디안 VMAX|3390
CRD_13D179FEFB764051B2F2|찌리리공 ex|190
CRD_47977278A0254FA4BCA9|연격 우라오스 VMAX|720
CRD_47A0659087604D088710|폭거북스|630
CRD_47E80B191CA7474EB9E3|큐레무 VMAX|760
CRD_4825831A44A54D91A8C4|그우린차 ex|100
CRD_48149BF6BE82495A8F64|세레비 VMAX|930
CRD_48773AA6B8EC4EF892A7|가라르 프리져|1140
CRD_4828E06D60BD439AB3E4|노고고치 ex|609
CRD_6CCC633E4EDE4AC7B8F3|보스의 지령|24349
CRD_4828906D1AF3429BB260|글레이시아 GX|26120
CRD_482D1C2F5F0041739B92|나인테일 BREAK|1233
CRD_080B6E0862C44602A883|아르세우스 VSTAR|510
CRD_482EA800F7DE4871AD8A|뮤츠 VSTAR|103470
CRD_13901C5572724AADB8AA|팔데아 토오 ex|150
CRD_483AB154688A4D959891|로켓단의 크로뱃 ex|90
CRD_485ACB25D5DE4A248426|그푸리|920
CRD_48B34F0217EF45879C43|이올브 V|130
CRD_1ECDA429B4D74A1EB5F5|호브의 자시안 ex|100
CRD_48DEAB90649C4E5386BB|라프라스 VMAX|1620
CRD_48EDE9764E334AFE8D60|스파크|3120
CRD_49258A0BD56C4E8CAAE1|샤크니아 EX|7866
CRD_4926DF1CF0484F49BC50|메가리자몽X ex|9738
CRD_49B864154D884E16A393|MC의 호응유도|1719
CRD_492B3C0921ED4DF68345|아이리스|19698
CRD_48E53C0884D54CECB73D|히스이 미끄래곤|940
CRD_491F98C389C24B31804E|M이상해꽃 EX|9530
CRD_492147CE938648E78FA2|애프룡 V|3031
CRD_227EEF4A668D4B91A0DE|메가드래캄 ex|14820
CRD_494E55E7C59E4B6DA4E3|야도란 EX|731
CRD_4986313CCE1543ED8030|에써르 V|190
CRD_49B9C68497F94042A443|일리마|787
CRD_202EC7F73609423FA993|크레세리아|9172
CRD_4A62A7429FAD4BDA9715|두송|801
CRD_4A276329B7FE4B2B876E|러브로스|810
