card_id,name,official_card_code,product_id,collection_number,rarity_code,language,super_type,jp_scrydex_ref,en_scrydex_ref
CRD_59E0A7F3922147D59CD0,테오키스 EX플라스마단,BS2013002053,PRD_D2B25BD104C94F7CA1E1,053/051,SR,KO,POKEMON,bw8s_ja-53,bw9-111
CRD_59F6DAA62F9D4244976D,이브이 GX,BS2019017187,PRD_C50AF6B22D9843F5B112,187/173,SR,KO,POKEMON,sm12a_ja-187,smp-SM242
CRD_5B85A98483504BD2B701,심향의 칠색조 ex,BS2025005090,PRD_66A71505B24242AD9875,090/063,UR,KO,POKEMON,sv9a_ja-90,sv10-239
CRD_B8BA3C24BCBE499B8B39,개굴반장,,PRD_156BB71C4F5A41C39521,087/083,AR,KO,POKEMON,m4_ja-87,NO_EN
CRD_5D04471E96A84B7CB7F4,디아루가 GX,BS2018003035,PRD_0BF9D5EE99F244E7910D,035/050,RR,KO,POKEMON,sm5p_ja-35,sm6-82
CRD_5C3EB535E3A64CD4886B,리오르,BS2024001280,PRD_219AD0EF77CA4165AD0F,280/190,S,KO,POKEMON,sv4a_ja-280,sv4pt5-173
CRD_5AA4F2695B3D4CB48B68,루카리오,BS2024001281,PRD_219AD0EF77CA4165AD0F,281/190,S,KO,POKEMON,sv4a_ja-281,sv4pt5-174
CRD_5A0A8856ED35413F8D24,뚜벅쵸,BS2024001191,PRD_219AD0EF77CA4165AD0F,191/190,S,KO,POKEMON,sv4a_ja-191,sv4pt5-92
CRD_5AFD5F4B7631458284E9,오엽,BS2024007088,PRD_965FA5E5CD004C97AE74,088/066,SR,KO,TRAINER,sv5a_ja-86,sv6-208
CRD_5B35A21321964FEFB636,오거폰 주춧돌의 가면 ex,BS2024008128,PRD_980F0BFCCDBB47558BFA,128/101,SAR,KO,POKEMON,sv6_ja-128,sv6-215
CRD_5B57F8A6A3104F4E93DA,엘풍 GX,BS2019007103,PRD_BDAF39161DD0442B99F6,103/095,SR,KO,POKEMON,sm10_ja-103,sm10-206
CRD_5C096EF4AA584BDCA606,시트론의 재치,BS2024017129,PRD_0CC50B878F5F40BAA824,129/106,SR,KO,TRAINER,sv8_ja-128,sv8-229
CRD_5C57E2D4DFC8419EAFAA,거북왕 EX,PR2015001170,PRD_5335DFBF031D4BA68337,,PR,KO,POKEMON,xyp_ja-234,xyp-XY30
CRD_5CB7DF4E7368416EB437,가라르 프리져 V,BS2022001230,PRD_767E549F894445C98D52,230/184,CSR,KO,POKEMON,swsh8b_ja-230,swsh10tg-TG16
CRD_5D48C69399A74C799C12,무쇠잎새 ex,BS2024005084,PRD_B8A7BADF7613420288AC,084/071,SR,KO,POKEMON,sv5m_ja-84,sv5-186
CRD_5DB81F6CB60742D3952B,찌리배리 ex,BS2023012025,PRD_66FB8C2B312E46E081B1,025/071,RR,KO,POKEMON,sv2d_ja-25,sv2-79
CRD_5D69A490DCA54BE28B61,위대한엄니 ex,BS2024001112,PRD_219AD0EF77CA4165AD0F,112/190,RR,KO,POKEMON,sv4a_ja-112,sv4pt5-53
CRD_5D2CBBAD2CD244CCBB58,토게키스 VMAX,BS2020012059,PRD_FE54F67A9C114773A9CD,059/076,RRR,KO,POKEMON,swsh3a_ja-59,swsh4-141
CRD_5D82D98321EE4B3B8CFB,프테라 V,BS2022014104,PRD_D85C098E2C3449848167,105/100,SR,KO,POKEMON,swsh11_ja-105,swsh11-179
CRD_5D857A6DB3B4475CAD61,팽도리,BS2025014085,PRD_DD94FB8DCB7C4A129478,085/080,AR,KO,TRAINER,m2_ja-85,me2-98
CRD_5D7CA51BCEB44BAEA02D,곤율거니,BS2025008137,PRD_53034524E98C4FE8BF8D,137/086,AR,KO,POKEMON,sv11w_ja-137,rsv10pt5-139
CRD_466890A6EF99406086D6,아르세우스 V,BS2022002083,PRD_FA60964DC9AC4C999AC2,083/100,RR,KO,POKEMON,swsh9_ja-83,swsh9-122
CRD_43B0B8BE00C44F0FB400,전룡,,PRD_156BB71C4F5A41C39521,088/083,AR,KO,POKEMON,m4_ja-88,NO_EN
CRD_298C0EBA7D414B2DB409,삼삼드래 EX,BS2015004084,PRD_9B9032EBA3C24F1ABA5C,084/078,SR,KO,POKEMON,xy6_ja-84,xy6-103
CRD_68ACF9F3119E4D75BABA,메가루차불 ex,BS2025015094,PRD_90A8D5BDA5664CEF9F48,094/193,RR,KO,POKEMON,m2a_ja-94,me2pt5-116
CRD_10433F25F9E74294B2FC,전진,BS2018002071,PRD_F201E3D7E4F640C7847E,071/066,SR,KO,TRAINER,sm5m_ja-71,sm5-156
CRD_5D99F1F054944414B285,플라드리 최후의 수단,BS2014004095,PRD_42626661804D4BE1B5E2,095/088,SR,KO,TRAINER,xy4_ja-95,xy4-118
