product_id,name,series_name,language
PRD_9D38AE2D57854EF295EF,썬&문 확장팩 세트 「멜메탈 GX」,썬&문,KO
PRD_26B8AEB977614902B314,썬&문 확장팩 제12탄 「얼터제네시스」,썬&문,KO
PRD_FDF989679F15435DB74E,썬&문 강화 확장팩 「드림리그」,썬&문,KO
PRD_0D7DD374BFC94B809A4C,강화 확장팩 「 드림리그 」 구매 특전,강화,KO
PRD_D72E8DA043D0459BA91D,뮤츠 실드전 HR 우승 경품,"",KO
PRD_DEE49E2E57AD4BAFA847,강화 확장팩 「리믹스바우트」 구매 특전,강화,KO
PRD_7B3C1057DEFB4DB3991A,카드샵 한정 프로모팩,"",KO
PRD_BB3F58298B3B4FD58DF4,뮤츠 실드전 SR 우승 경품,"",KO
PRD_8F7CD105F639462ABA75,썬&문 강화 확장팩 「리믹스바우트」,썬&문,KO
PRD_60C4B2B436F34869A60E,썬&문 하이클래스팩 「GX 울트라샤이니 ULTIMATE」,썬&문,KO
PRD_C0B08CD7056D46259B43,썬&문 프로모팩 제12탄,"",KO
PRD_D169419057A04FDEBE8B,썬&문 프로모팩 제11탄,"",KO
PRD_A38DB9E803204A518F27,썬&문 프로모팩 제13탄,"",KO
PRD_C82AB769728949D1AB00,썬&문 프로모팩 제8탄,"",KO
PRD_85013CC4B9634E819F22,썬&문 확장팩 제11탄 「미라클트윈」,썬&문,KO
PRD_E086FB5366D74C6FBB43,썬&문 스타터 세트 TAG TEAM GX 「블래키&다크라이 GX」,"",KO
PRD_DDC3BB3CB0314EC4BEF6,썬&문 스타터 세트 TAG TEAM GX 「에브이&테오키스 GX」,"",KO
PRD_3E9DB59EE4A3494BAC2C,썬&문 강화 확장팩 「스카이레전드」,썬&문,KO
PRD_472A74A595644AAF95EA,썬&문 강화 확장팩 「GG엔드」,썬&문,KO
PRD_0F196FC2776F45BC8325,썬&문 파워업덱 BOX 「TAG TEAM GX」,"",KO
PRD_FFD9405FB4944E33A617,썬&문 프로모팩 제7탄,"",KO
PRD_F0E74A54F9F241ADBFE5,스페셜 점보 카드 세트 명탐정 피카츄 「뮤츠 GX ver.」 프로모 카드,"",KO
PRD_DD830B8D50B34700ACCB,스페셜 점보 카드 세트 명탐정 피카츄 「리자몽 GX ver.」 프로모 카드,"",KO
PRD_C928FE6652B14828B4CA,「명탐정 피카츄」영화 프로모 카드,"",KO
PRD_5A89CF566D874D14AD07,썬&문 영화 스페셜 팩 「명탐정 피카츄」,"",KO
PRD_ED6E63DB5B5947769F83,「태그볼트」 「나이트유니슨」 각 1BOX 구매자 프로모 카드,"",KO
PRD_BDAF39161DD0442B99F6,썬&문 확장팩 「더블블레이즈」,썬&문,KO
PRD_E8ABA5503A5340DA8A7F,패밀리 포켓몬 카드 게임 「뮤츠 GX 덱」,"",KO
PRD_F17481B6DC6743DFBFDA,패밀리 포켓몬 카드 게임 「리자몽 GX 덱」,"",KO
PRD_BBEBBF685AA44C9DAF38,패밀리 포켓몬 카드 게임 「라이츄 GX 덱」,"",KO
PRD_231732ED8F2047F39E3E,썬&문 프로모 카드 키스틱 포켓몬,"",KO
PRD_F47B27397A4F495BA9FE,썬&문 강화 확장팩 「풀메탈월」,썬&문,KO
PRD_4EC62866124346138250,썬&문 스타터 세트 격투 「롱스톤 GX」,"",KO
PRD_811F8361E5F040F9A660,썬&문 스타터 세트 물 「아쿠스타 GX」,"",KO
PRD_B4B304E3BD094584B09E,썬&문 강화 확장팩 「나이트유니슨」,썬&문,KO
PRD_F0B2C76547E5479F8E65,썬&문 하이클래스팩 「GX 울트라샤이니」,썬&문,KO
PRD_84AD0AAADD6A491990EE,썬&문 스타터 세트 「물의 샤미드 GX」,"",KO
PRD_F0B27DFABBE04F75BF70,썬&문 스타터 세트 「번개의 쥬피썬더 GX」,"",KO
PRD_15C0A5C104624A34AE78,썬&문 스타터 세트 「불꽃의 부스터 GX」,"",KO
PRD_0D6AE93A1F194DF2AFCC,썬&문 확장팩 「태그볼트」,썬&문,KO
PRD_B4AD08889B964B48AE16,2018-19 코리안리그 시즌1 프로모,"",KO
PRD_32A4D18B7D984066BEDB,썬&문 프로모팩 6탄,"",KO
PRD_93C786DF7318433D88C3,포켓몬스터 극장판 관람 프로모,"",KO
PRD_4ACB97699662497D825B,제크로무 실드전,"",KO
PRD_FC540D961A674244B333,「플라스마 스파크」 2박스 구매 특전,"",KO
PRD_6DB848A34AB046C29FCF,썬&문 강화 확장팩 「다크오더」,썬&문,KO
PRD_625DCF52C5DF48E2A8CE,썬&문 스페셜 점보 카드 세트 「제라오라」,"",KO
PRD_AFDD781CB39B4FCD9356,썬&문 강화 확장팩 「플라스마 스파크」,썬&문,KO
PRD_977ECC80D13C4D5FB4CC,팀배틀 시즌5 참가상,"",KO
PRD_E1C4AAB9A1BC43F5B408,썬&문 강화 확장팩 「GX 배틀부스트 REMASTER」,썬&문,KO
PRD_6066B79FCD694BDCBF82,썬&문 확장팩 제8탄 「버스트임팩트」,썬&문,KO
PRD_D59FE8DA38A0461A8AB8,썬&문 강화 확장팩 「페어리라이즈」,썬&문,KO
PRD_D156945DB7EA44D4A61E,썬&문 프로모팩 5탄,"",KO
PRD_E9B2F9D664AA4F028480,썬&문 전격 스타터 세트 「라이코 GX」,"",KO
PRD_DCA34121E6E144D0B025,DP 랜덤 구축덱,DP 랜덤,KO
PRD_F59042429A0444D3B06F,썬&문 강화 확장팩 「빛나는 전설」,썬&문,KO
PRD_D2E62F137D9A44ACBEBC,썬&문 확장팩 제7탄 「창공의 카리스마」,썬&문,KO
PRD_7313C4299084450DB744,강화 확장팩 「창공의 카리스마」 발매 기념 토너먼트 참가상,강화,KO
PRD_151FCDB5743444E7A349,썬&문 강화 확장팩 「챔피언로드」,썬&문,KO
PRD_6FAC8D9AE7E9486E91BC,썬&문 강화 확장팩 「드래곤스톰」,썬&문,KO
PRD_4078EF17A3154068BD59,강화 확장팩 「드래곤스톰」 발매 기념 토너먼트 참가상,강화,KO
PRD_63E0557D426542D4A27F,짐 프로모팩 4탄,"",KO
PRD_E8406F09762D4FCCAA05,WCSK2018 옐로아이디 선물,"",KO
PRD_D94D0FC538FE41AF9E83,SM 점보 카드 세트 「울트라문」,"",KO
PRD_34C08908EA83487081AE,SM 점보 카드 세트 「울트라썬」,"",KO
PRD_CC9FA5F3736D45FCB4D5,금단의 빛 발매 기념 프로모 팩,"",KO
PRD_53E40A5426654734B2E9,컬렉터즈 프로모 팩 5,"",KO
PRD_1997BDA49DD245B0B42C,울트라포스 동봉 쿠폰 교환,"",KO
PRD_3FDB16A819514C3C85B3,썬&문 확장팩 제6탄 「금단의 빛」,썬&문,KO
PRD_87A114BC5BF44CB19C97,하이클래스팩 「THE BEST OF XY」,"",KO
PRD_0BF9D5EE99F244E7910D,썬&문 강화 확장팩 「울트라포스」,썬&문,KO
PRD_5335DFBF031D4BA68337,XY 프로모 카드,"",KO
PRD_F201E3D7E4F640C7847E,썬&문 확장팩 제5탄 「울트라문」,썬&문,KO
PRD_F6FE8B8F09B645B4BEA7,썬&문 확장팩 제5탄 「울트라썬」,썬&문,KO
PRD_C2F3D1F25B5D470C86DA,썬&문 전설 스타터 세트 「솔가레오 GX ･ 루나아라 GX」,"",KO
PRD_FD8A88C029274D9BBDCD,썬&문 30장 덱 대전 세트 「지우 VS 로켓단」,"",KO
PRD_3325B921A1EE40CDB4A9,썬&문 개조 스타터 세트 「카푸브루루 GX」,"",KO
PRD_029ECD787FAA4FF49543,썬&문 전력 배틀 스타터 세트 「루가루암 GX」,"",KO
PRD_A8106B260252473787F9,썬&문 스타터세트,"",KO
PRD_9931EEE341EA499E9BA6,XY BREAK 메가 배틀 60장 덱 「M다부니 EX」,"",KO
PRD_98DB39ED5AF648B480F3,XY BREAK 퍼펙트 배틀 60장 덱 「지가르데 EX」,"",KO
PRD_90DF902990C541CE80CA,XY BREAK 콤보 60장 덱 「골덕 BREAK +펄기아 EX」,"",KO
