card_id,card_name,rarity,collection_number,snkrdunk_apparel_id,scrydex_raw_krw,scrydex_psa10_krw,scrydex_psa9_krw,raw_to_psa10_ratio,raw_to_psa9_ratio,psa10_to_psa9_ratio,psa10_to_raw_ratio,psa9_to_raw_ratio,snk_A_basis,snk_selected_A_krw,snk_A_n,scrydex_raw_to_snk_A_ratio,ladder_violation,action_status,notes,replacement_confidence,floor_suspect
CRD_017C5386A8B64234B9C7,멜로코,SR,190/187,462393,1736,43854,13088,0.04,0.133,3.351,25.26,7.54,A_3M,18050,2,0.096,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,MAPPING_REVIEW,,MAPPING_REVIEW,
CRD_01E1A15D9BF64FB3A102,캥카 EX,RR,064/080,380763,2812,49693,,0.057,,,17.67,,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0236FAB9C7144005ABC7,라임,SR,129/108,132277,2028,34897,20688,0.058,0.098,1.687,17.21,10.2,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0247DE71AB2140BEBBF8,멍파치,AR,086/080,704245,3665,64884,14776,0.056,0.248,4.391,17.7,4.03,A_1M,9500,2,0.386,RAW_STALE_LOW;SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,Y
CRD_0250ADD17A674DED8424,눈설왕,S,200/190,,1613,59127,,0.027,,,36.66,,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_02610BA308E64C70A526,노고치,AR,198/172,103063,3595,48272,25702,0.074,0.14,1.878,13.43,7.15,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_027EB7AC44174C879264,테사,SR,132/108,132274,2520,28042,8472,0.09,0.297,3.31,11.13,3.36,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_02A04C78DFA5C2D39430,,,,,3111,56922,14141,0.055,0.22,4.025,18.3,4.55,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_02A3EEACB0F74D7F97B6,네모,SR,343/190,164705,1429,37782,12385,0.038,0.115,3.051,26.44,8.67,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_02C8FFC4897D4C2288DF,로켓단의 마자용,AR,103/098,554341,6561,75962,37866,0.086,0.173,2.006,11.58,5.77,A_1M,10450,6,0.628,RAW_STALE_LOW,REPLACE_WITH_SNK_A,,LADDER_INFO_ONLY,
CRD_02EF6DD76D804F69A99C,블래리의 한 수,SR,106/080,704396,1798,37100,15321,0.048,0.117,2.422,20.63,8.52,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_02FBE86D930D4D10A90C,마폭시 V,RR,017/100,136958,738,58855,13761,0.013,0.054,4.277,79.75,18.65,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0320E0D5056F4FBDB33A,괴력몬 V,SR,073/067,96744,117249,220142,92320,0.533,1.27,2.385,1.88,0.79,A_1M,83410,7,1.406,RAW_OVER_PSA9,REPLACE_WITH_SNK_A,,KEEP,
CRD_0323B3DF18D24127932E,단단지,AR,064/063,664111,5700,67342,25489,0.085,0.224,2.642,11.81,4.47,A_1M,9500,1,0.6,RAW_STALE_LOW,REVIEW_SNK_THIN,,LADDER_INFO_ONLY,Y
CRD_032F065F3B1D42379FF6,알로라나인테일 GX,RR,095/173,396077,4164,68515,25810,0.061,0.161,2.655,16.45,6.2,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_034271D298BA46158444,사마자르,CHR,071/067,126700,2512,54064,22588,0.046,0.111,2.393,21.52,8.99,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_0349CF2E05594460B06B,M보스로라 EX,RR,046/070,381591,15365,169721,229338,0.091,0.067,0.74,11.05,14.93,NONE,,0,,GRADED_INVERSION;RAW_STALE_LOW,KEEP_SCRYDEX,,KEEP,
CRD_03969BCA263B42ACB41A,프테라 VSTAR,HR,118/100,137049,11908,71911,33993,0.166,0.35,2.115,6.04,2.85,A_3M,33250,1,0.358,SNK_DIVERGENCE_LOW,REVIEW_SNK_THIN,,REVIEW_REPLACE,
CRD_042BA07087FB420BABAE,꿰뚫는화염 ex,RR,027/187,,461,30427,,0.015,,,66.0,,NO_MAP,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
CRD_047131CE3AB3482C8F7F,굽이치는물결 ex,UR,235/187,469637,6084,56244,34156,0.108,0.178,1.647,9.24,5.61,A_3M,9500,1,0.64,RAW_STALE_LOW,REVIEW_SNK_THIN,,LADDER_INFO_ONLY,Y
CRD_04C479651A454FB3A8D3,로켓단의 뮤츠 ex,RR,063/193,730107,707,92014,45392,0.008,0.016,2.027,130.15,64.2,NONE,,0,,RAW_STALE_LOW,KEEP_SCRYDEX,,LADDER_INFO_ONLY,
