our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,source_set,notes
CRD_A2E6B453A2A741BCA11A,마샤도&괴력몬 GX,sm10_ja-42,SM10,042/095,RR,cards/CRD_A2E6B453A2A741BCA11A_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM10,
CRD_A2F9A6312DF44494B8FF,카일리,sm7a_ja-65,SM7A,066/060,SR,cards/CRD_A2F9A6312DF44494B8FF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM7A,
CRD_A313B53B087D4A94B80A,쥬피썬더 V,swsh6a_ja-30,SWSH6A,130/414,RR,cards/CRD_A313B53B087D4A94B80A_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH6A,
CRD_A320E30FFCFE4D5A901D,수리둥보,sv11w_ja-156,SV11W,156/086,AR,cards/CRD_A320E30FFCFE4D5A901D_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_A371FDE27863442B9247,석탄산,swsh4a_ja-268,SWSH4A,268/190,S,cards/CRD_A371FDE27863442B9247_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_A3A2A1E4057649CEA59E,나몰빼미&알로라나시 GX,sm10b_ja-55,SM10B,055/054,SR,cards/CRD_A3A2A1E4057649CEA59E_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM10B,
CRD_A3AB8AC8AAC347838A4D,멜리사,swsh11_ja-116,SWSH11,113/100,SR,cards/CRD_A3AB8AC8AAC347838A4D_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH11,
CRD_A3B4ED53661A41AD9BE6,티고라스,m3_ja-89,M3,089/080,AR,cards/CRD_A3B4ED53661A41AD9BE6_jp.png,753309,https://snkrdunk.com/apparels/753309,チゴラス AR [M3 089/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-089,https://cdn.snkrdunk.com/upload_bg_removed/20260122103517-0.webp,snk_images/753309.png,CRD_A3B4ED53661A41AD9BE6,CRD_A3B4ED53661A41AD9BE6,티고라스,0.756,"[{""cardId"": ""CRD_A3B4ED53661A41AD9BE6"", ""name"": ""티고라스"", ""rarity"": ""AR"", ""ref"": ""m3_ja-89"", ""score"": 0.756}]",HIGH_CONFIDENCE,HIGH,M3,
CRD_A3C2192851584CFC8246,소도와 실디,swsh8b_ja-263,SWSH8B,267/184,SR,cards/CRD_A3C2192851584CFC8246_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH8B,
CRD_A416CBFC4F164B6BA7E4,코일,sm8b_ja-187,SM8B,187/150,S,cards/CRD_A416CBFC4F164B6BA7E4_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_A4182C43172645D6AA8D,아세로라의 장난,m1s_ja-84,M1S,085/063,SR,cards/CRD_A4182C43172645D6AA8D_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M1S,
CRD_A433CDC6DC8849CEA90A,꼬부기,NO_JP,,052/049,AR,cards/CRD_A433CDC6DC8849CEA90A_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_A4507E6EECB24AD88AC1,이브이 V,NO_JP,,007/024,RR,cards/CRD_A4507E6EECB24AD88AC1_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_A45225946385449CBE53,제라오라 V,swsh6k_ja-24,SWSH6K,024/070,RR,cards/CRD_A45225946385449CBE53_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH6K,
CRD_A45D3E9BF08B4D07AF14,루가루암 GX,sm8b_ja-60,SM8B,060/150,RR,cards/CRD_A45D3E9BF08B4D07AF14_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_A46CF82C32F04EE6BB52,아고용 GX,sm8b_ja-52,SM8B,052/150,RR,cards/CRD_A46CF82C32F04EE6BB52_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_A497F0378C1349F19C8B,에이스번 ex,sv7_ja-18,SV7,139/742,RR,cards/CRD_A497F0378C1349F19C8B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV7,
CRD_A4A072ED41004885A806,소미안,sv11w_ja-90,SV11W,090/086,AR,cards/CRD_A4A072ED41004885A806_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_A4B8753A4E844EE09CBA,로켓단의 파이어 ex,sv10_ja-15,SV10,015/098,RR,cards/CRD_A4B8753A4E844EE09CBA_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV10,
CRD_A4E698560C3F430A9CE4,루카리오 VSTAR,NO_JP,,005/021,RR,cards/CRD_A4E698560C3F430A9CE4_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_A4F869F470ED469F8FDF,스트린더,sv4a_ja-246,SV4A,246/190,S,cards/CRD_A4F869F470ED469F8FDF_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4A,
CRD_A4F8739E43884B02A683,레파르다스,sv11w_ja-135,SV11W,135/086,AR,cards/CRD_A4F8739E43884B02A683_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_A502FAAAF5E44D6EB6F0,갑주무사 GX,sm8b_ja-8,SM8B,008/150,RR,cards/CRD_A502FAAAF5E44D6EB6F0_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_A5262AA512774BD48654,오거폰 벽록의 가면 ex,sv6_ja-114,SV6,114/101,SR,cards/CRD_A5262AA512774BD48654_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV6,
CRD_A54C3A0567954337AFBE,찌로꼬치,swsh4a_ja-230,SWSH4A,230/190,S,cards/CRD_A54C3A0567954337AFBE_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_A55C953959164A8EBF09,히스이 윈디,swsh10a_ja-75,SWSH10A,075/071,CHR,cards/CRD_A55C953959164A8EBF09_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH10A,
CRD_A59B08DC49AD4E5FBFA7,고동치는달 ex,sv4k_ja-54,SV4K,054/066,RR,cards/CRD_A59B08DC49AD4E5FBFA7_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV4K,
CRD_A5A4F5FFC9A3433F8793,빈티나,sv8_ja-110,SV8,110/106,AR,cards/CRD_A5A4F5FFC9A3433F8793_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV8,
CRD_A5AB48532440455987B1,가라르 코산호,swsh4a_ja-248,SWSH4A,248/190,S,cards/CRD_A5AB48532440455987B1_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4A,
CRD_A5AE23F47A2B49218CB4,대코파스,m3_ja-88,M3,088/080,AR,cards/CRD_A5AE23F47A2B49218CB4_jp.png,753308,https://snkrdunk.com/apparels/753308,ダイノーズ AR [M3 088/080](拡張パック「ムニキスゼロ」),pkmn-tcg-M3-088,https://cdn.snkrdunk.com/upload_bg_removed/20260122103527-0.webp,snk_images/753308.png,CRD_A5AE23F47A2B49218CB4,CRD_A5AE23F47A2B49218CB4,대코파스,0.8374,"[{""cardId"": ""CRD_A5AE23F47A2B49218CB4"", ""name"": ""대코파스"", ""rarity"": ""AR"", ""ref"": ""m3_ja-88"", ""score"": 0.8374}]",HIGH_CONFIDENCE,HIGH,M3,
CRD_A5B83823B6344946A314,피카츄 ex,sv8_ja-132,SV8,132/106,SAR,cards/CRD_A5B83823B6344946A314_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV8,
CRD_A5BC4873149245CAB6B3,바닥트리오 ex,sv5k_ja-25,SV5K,025/071,RR,cards/CRD_A5BC4873149245CAB6B3_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV5K,
