card_id,card_name,snkrdunk_apparel_id,usedMinPrice,usedListingCount,A1m_n,A1m_med,A1m_latest,A3m_n,A3m_med,A3m_latest,PSA10_1m_n,PSA10_1m_med,PSA10_3m_n,PSA10_3m_med,PSA9_1m_n,PSA9_1m_med,PSA9_3m_n,PSA9_3m_med,data_quality
CRD_2A2AA65BC13345549AD1,마스터드 연격의 태세,126530,1000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_F3D10A6AC6D949C88832,보송송,126666,1000,68,2,1999,1000,5,1300,1000,17,7249,53,7950,0,0,2,2500,A_1M_OK
CRD_96E3628EA11140F3A119,리자몽,126668,3000,120,7,3366,3200,32,3382,3200,20,15179,68,16949,4,4899,11,4800,A_1M_OK
CRD_24CD0D7FE1834DA89707,부스터,126670,2700,28,2,2783,2666,17,2390,2666,23,11385,67,10155,2,4250,4,4250,A_1M_OK
CRD_7457BA11C1D9436DAEED,제크로무,126667,2580,103,4,2599,1500,23,2999,1500,25,11768,76,12369,3,6100,6,3300,A_1M_OK
CRD_14EB3BE3034D40278311,쥬피썬더,126674,2400,43,2,2475,2300,11,2500,2300,22,10910,69,10640,1,3300,5,3500,A_1M_OK
CRD_5D9CED91492B4E768613,잠만보,126680,2499,65,0,0,0,10,2200,2000,27,10250,79,10389,1,4980,15,3800,A_3M_FB
CRD_F70C1790FD9042749050,크리만,126682,1000,9,0,0,0,1,1000,1000,2,7049,6,7049,0,0,0,0,A_3M_FB
CRD_D96E0DB78D214574BD54,로즈레이드,126679,1000,25,0,0,0,1,1000,1000,8,6990,20,6980,2,2649,2,2649,A_3M_FB
CRD_E1816DF5DFB04C90965B,동탁군,126678,1000,39,0,0,0,2,1250,1100,8,6887,33,6999,0,0,2,2240,A_3M_FB
CRD_C64D8A288A1E49DABD3B,이브이,126673,1890,66,3,2300,1950,19,2500,1950,24,11714,68,10901,1,3000,7,3000,A_1M_OK
CRD_2CECD65EDFEE402B8093,킹드라,126683,1500,26,1,1500,1500,7,1200,1500,6,8400,24,8010,0,0,0,0,A_1M_OK
CRD_53504BEF2B164AFA9492,부우부,126692,1000,4,0,0,0,1,1600,1600,4,9549,12,8640,0,0,0,0,A_3M_FB
CRD_80BD0BCAE8F6426DA55F,팽도리,126663,7500,57,0,0,0,5,9500,10400,12,24825,47,22510,2,11625,8,11250,A_3M_FB
CRD_00B0A094D2434026AD56,하랑우탄,126690,1000,6,0,0,0,0,0,0,2,6675,9,6900,0,0,0,0,PSA_ONLY
CRD_6D8F9AF9CC2D47D0ABE5,눈설왕,126697,1000,10,1,1000,1000,2,3000,1000,6,6800,10,6875,0,0,0,0,A_1M_OK
CRD_4192371C8DE14719ACB9,그라에나,126693,1000,12,0,0,0,0,0,0,5,6800,13,6899,0,0,0,0,PSA_ONLY
CRD_A55C953959164A8EBF09,히스이 윈디,126698,1000,20,1,1000,1000,2,1000,1000,5,7300,9,7200,0,0,0,0,A_1M_OK
CRD_B675C7208A854D9AAEF1,몰드류,126685,0,0,0,0,0,0,0,0,1,10800,1,10800,0,0,0,0,PSA_ONLY
CRD_AF533FDCBFB840229CB0,칼라마네로,126695,1000,7,0,0,0,0,0,0,6,6746,13,6500,0,0,0,0,PSA_ONLY
CRD_5E50FAE179C84F9C8755,대여르,126687,1000,16,1,1500,1500,2,1600,1500,3,6650,14,6875,0,0,0,0,A_1M_OK
CRD_34B94E323039433886E9,애프룡,126696,1000,5,0,0,0,2,1000,1000,4,6700,11,6800,0,0,0,0,A_3M_FB
CRD_92EBCC00579749239EE9,신비록,126701,1000,12,0,0,0,0,0,0,4,6550,8,6500,0,0,0,0,PSA_ONLY
CRD_576DC2D934294498A93F,캐스퐁,126702,1000,11,0,0,0,1,6000,6000,2,6939,12,6950,0,0,0,0,A_3M_FB
CRD_C31F1E43A61B4EC79EA3,쿡,126523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
