card_id,name,rarity,num,jp_ref,en_ref,selected_source,ko_current,selected_raw_krw,coef_current,en_raw,jp_raw,snk_raw,snk_n,jp_p10,jp_p9,snk_p10,snk_p9,scry_ladder,snk_ladder,pricing_mode,jp_coef,jp_coef_scope,ko_via_jp,ko_via_snk,mult_jp,mult_snk,selection_bug_raw,underpriced_by_jp,underpriced_by_snk,coef_missing,actionable,category
CRD_9337246D91AB42D89EBE,뮤츠 EX,SR,062/059,xy8r_ja-62,xy8-158,EN,14532,108122,0.134400,107622,570000,0,0,2623954,204106,2365490,883500,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,221519,,15.2,,True,True,False,False,True,UNDERPRICED
CRD_4CA4DA6436B34162B705,카푸느지느 GX,SR,052/049,sm2p_ja-52,sm3-133,EN,1497,8912,0.168000,8870,57000,0,0,184378,0,0,0,PSA10 > RAW,,COEF,0.388629,RARITY,22152,,14.8,,True,True,False,False,True,UNDERPRICED
CRD_E1D8518B742042F6B3BB,솔가레오 GX,SR,063/060,sm1s_ja-63,sm1-143,EN,1618,9634,0.168000,9589,61750,0,0,274984,76824,0,0,PSA10 > PSA9 > RAW,,COEF,0.388629,RARITY,23998,,14.8,,True,True,False,False,True,UNDERPRICED
CRD_AE3C75BE92214FE9ACBD,M라티오스 EX,SR,083/078,xy6_ja-83,xy6-102,EN,20213,150391,0.134400,149695,760000,0,0,1018640,268976,1235000,427500,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,295358,,14.6,,True,True,False,False,True,UNDERPRICED
CRD_2CE1E087831443ADACEE,에몽가,SR,023/025,sc1_ja-23,bw11-RC23,EN,12914,129141,0.100000,127501,477500,0,0,3561929,442368,3206250,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,185570,,14.4,,True,True,False,False,True,UNDERPRICED
CRD_1E093F6900FF4470B84E,카푸나비나 GX,SR,052/050,sm2l_ja-52,sm2-137,EN,2455,14612,0.168000,14612,90250,0,0,24584,153648,0,0,PSA9 > RAW > PSA10,,COEF,0.388629,RARITY,35074,,14.3,,True,True,False,False,True,UNDERPRICED
CRD_185DE08656684E7AA355,비크티니,SR,070/066,bw2_ja-70,bw3-98,EN,25407,254072,0.100000,252897,931000,0,0,2664640,888070,2090000,570000,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,361814,,14.2,,True,True,False,False,True,UNDERPRICED
CRD_15F5F5A58D814B10953B,님피아 GX,RR,,smp_ja-323,sm2-92a,EN,6237,33142,0.188200,32989,380000,332500,1,617573,382584,740050,223250,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.228936,RARITY,86996,76121,13.9,12.2,True,True,True,False,True,UNDERPRICED
CRD_6393EBE4F2594F90B558,쉐이미 EX,SR,087/078,xy6_ja-87,xy6-106,EN,4795,35677,0.134400,35512,171000,0,0,480334,53792,378100,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,66456,,13.9,,True,True,False,False,True,UNDERPRICED
CRD_3AEB0958DF704E919E03,M야도란 EX,RR,027/100,xyp_ja-263,xy12-27,EN,2848,15134,0.188200,14942,54253,171000,1,256269,0,448875,114000,PSA10 > RAW,PSA10 > RAW > PSA9,COEF,0.228936,RARITY,12420,39148,4.4,13.7,True,True,True,False,True,UNDERPRICED
CRD_6D7FD944EBBE4E7AA8A1,N,SR,071/066,bw2_ja-71,bw3-101,EN,35107,351070,0.100000,351070,1235000,0,0,1438222,478475,1596000,748600,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,479957,,13.7,,True,True,False,False,True,UNDERPRICED
CRD_9DA43870585949379283,리자몽 EX,SR,103/100,cp6_ja-90,xyp-XY121,EN,35436,263660,0.134400,263850,1229184,0,0,6547571,2034960,6650000,2517500,PSA10 > PSA9 > RAW,PSA10 > PSA9,COEF,0.388629,RARITY,477697,,13.5,,True,True,False,False,True,UNDERPRICED
CRD_168A21AE1367433791FA,에브이&테오키스 GX,SR,177/173,sm12a_ja-177,smp-SM240,JP,15459,197176,0.078400,204198,197176,522500,1,1311278,253227,939312,401109,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,76628,203059,5.0,13.1,False,True,True,False,True,UNDERPRICED
CRD_20857DA3F57C4FAC9BE3,이브이 GX,SR,188/173,sm12a_ja-188,smp-SM233,JP,13563,172992,0.078400,242134,172992,456000,1,1464296,370845,1216000,427500,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,67230,177215,5.0,13.1,False,True,True,False,True,UNDERPRICED
CRD_FAA316C56DEC49B9BB70,백마 버드렉스 VMAX,HR,085/070,swsh6h_ja-85,swsh6-203,EN,23777,66453,0.357800,66453,307281,717250,2,654863,353390,807500,549100,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.432255,RARITY,132824,310035,5.6,13.0,True,True,True,False,True,UNDERPRICED
